City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,97.05,30,38,7.76,AU,2022-02-03 07:39:44
1,Kavieng,-2.5744,150.7967,80.28,79,100,12.26,PG,2022-02-03 07:37:09
2,Richards Bay,-28.783,32.0377,90.28,52,9,9.44,ZA,2022-02-03 07:39:45
3,Dikson,73.5069,80.5464,-10.75,98,93,10.87,RU,2022-02-03 07:39:46
4,Ushuaia,-54.8,-68.3,40.66,65,75,20.71,AR,2022-02-03 07:37:23
5,Raudeberg,61.9875,5.1352,35.87,82,100,5.99,NO,2022-02-03 07:39:47
6,Baymak,52.5933,58.3225,21.87,95,99,8.39,RU,2022-02-03 07:39:47
7,Half Moon Bay,37.4636,-122.4286,55.62,50,0,3.44,US,2022-02-03 07:39:48
8,Silver City,32.7701,-108.2803,27.68,90,0,5.75,US,2022-02-03 07:39:49
9,Puerto Ayora,-0.7393,-90.3518,73.54,93,17,3.0,EC,2022-02-03 07:39:49
10,Souillac,-20.5167,57.5167,79.36,94,75,26.46,MU,2022-02-03 07:39:50
11,Berlevag,70.8578,29.0864,22.95,80,75,11.5,NO,2022-02-03 07:39:51
12,Strezhevoy,60.7333,77.5889,22.98,92,100,10.29,RU,2022-02-03 07:39:52
13,Carnarvon,-24.8667,113.6333,86.07,66,0,20.71,AU,2022-02-03 07:39:53
14,Hilo,19.7297,-155.09,70.79,89,75,3.44,US,2022-02-03 07:39:53
15,Mataura,-46.1927,168.8643,56.48,66,100,4.54,NZ,2022-02-03 07:39:54
16,Albany,42.6001,-73.9662,44.8,86,100,2.8,US,2022-02-03 07:39:54
17,Tiarei,-17.5333,-149.3333,82.0,77,16,20.87,PF,2022-02-03 07:39:55
18,Matara,5.9485,80.5353,85.21,55,5,7.36,LK,2022-02-03 07:39:55
19,Hobart,-42.8794,147.3294,64.02,59,75,1.01,AU,2022-02-03 07:37:49
20,Cape Town,-33.9258,18.4232,65.88,90,75,7.0,ZA,2022-02-03 07:39:56
21,San Jose,37.3394,-121.895,55.56,47,20,4.61,US,2022-02-03 07:39:16
22,Vila Franca Do Campo,37.7167,-25.4333,59.41,84,44,8.97,PT,2022-02-03 07:39:57
23,Hermanus,-34.4187,19.2345,64.9,80,99,15.05,ZA,2022-02-03 07:39:57
24,Esperance,-33.8667,121.9,85.84,52,8,24.58,AU,2022-02-03 07:39:58
25,Severo-Kurilsk,50.6789,156.125,29.82,82,100,11.77,RU,2022-02-03 07:38:58
26,Broken Hill,-31.95,141.4333,78.51,25,0,19.57,AU,2022-02-03 07:39:58
27,Bluff,-46.6,168.3333,56.8,61,100,14.83,NZ,2022-02-03 07:39:59
28,Butaritari,3.0707,172.7902,82.11,77,100,13.53,KI,2022-02-03 07:40:00
29,Rikitea,-23.1203,-134.9692,77.52,77,100,10.45,PF,2022-02-03 07:35:45
30,Lompoc,34.6391,-120.4579,52.11,56,0,4.61,US,2022-02-03 07:35:50
31,Ishinomaki,38.4167,141.3,37.4,76,29,12.28,JP,2022-02-03 07:40:02
32,Bubaque,11.2833,-15.8333,76.98,79,21,5.86,GW,2022-02-03 07:40:02
33,Mahajanga,-15.7167,46.3167,89.62,62,40,3.44,MG,2022-02-03 07:40:03
34,Rio Cuarto,-33.1307,-64.3499,57.83,66,91,5.06,AR,2022-02-03 07:40:04
35,Victoria,22.2855,114.1577,60.94,85,100,1.01,HK,2022-02-03 07:38:10
36,Laem Sing,12.4816,102.0738,89.94,64,97,10.51,TH,2022-02-03 07:40:05
37,Sao Filipe,14.8961,-24.4956,73.38,74,0,10.49,CV,2022-02-03 07:40:06
38,Tuatapere,-46.1333,167.6833,56.82,67,100,7.78,NZ,2022-02-03 07:40:07
39,Ilulissat,69.2167,-51.1,-3.78,65,100,9.64,GL,2022-02-03 07:40:08
40,Mahebourg,-20.4081,57.7,79.25,94,75,26.46,MU,2022-02-03 07:40:09
41,Zheleznodorozhnyy,55.7503,38.0042,18.12,92,94,4.7,RU,2022-02-03 07:40:10
42,Iranshahr,27.2025,60.6848,64.74,27,0,6.91,IR,2022-02-03 07:40:11
43,Yellowknife,62.456,-114.3525,-30.59,80,0,11.5,CA,2022-02-03 07:40:12
44,Marrakesh,31.6315,-8.0083,51.87,46,0,4.61,MA,2022-02-03 07:40:13
45,Hay River,60.8156,-115.7999,-27.42,75,20,5.75,CA,2022-02-03 07:37:24
46,Daru,-9.0763,143.2092,82.18,77,75,4.7,PG,2022-02-03 07:40:14
47,Bambous Virieux,-20.3428,57.7575,79.21,94,75,26.46,MU,2022-02-03 07:40:15
48,Pangai,-19.8,-174.35,81.03,78,14,13.62,TO,2022-02-03 07:40:16
49,Tabou,4.423,-7.3528,77.25,83,20,3.67,CI,2022-02-03 07:40:17
50,Puksoozero,62.5903,40.6066,12.15,93,100,2.21,RU,2022-02-03 07:40:17
51,Caranavi,-15.8167,-67.55,61.77,99,63,1.81,BO,2022-02-03 07:40:18
52,Rocha,-34.4833,-54.3333,66.09,98,100,5.88,UY,2022-02-03 07:40:19
53,Ocos,14.5094,-92.1933,75.0,81,1,5.66,GT,2022-02-03 07:40:20
54,Pevek,69.7008,170.3133,-7.96,76,0,4.32,RU,2022-02-03 07:40:21
55,Port Lincoln,-34.7333,135.8667,65.64,65,2,19.53,AU,2022-02-03 07:40:22
56,Katsuura,35.1333,140.3,52.11,44,84,2.13,JP,2022-02-03 07:40:23
57,Santa Maria,-29.6842,-53.8069,70.48,70,0,5.12,BR,2022-02-03 07:40:24
58,Bethel,41.3712,-73.414,39.51,92,100,0.0,US,2022-02-03 07:40:25
59,Port Alfred,-33.5906,26.891,73.44,86,99,10.92,ZA,2022-02-03 07:40:26
60,Vaini,-21.2,-175.2,78.96,94,40,2.3,TO,2022-02-03 07:40:27
61,Bengkulu,-3.8004,102.2655,85.62,62,83,5.93,ID,2022-02-03 07:39:55
62,Exeter,50.7236,-3.5275,46.72,94,75,1.14,GB,2022-02-03 07:40:28
63,Morro Bay,35.3658,-120.8499,52.25,49,0,8.39,US,2022-02-03 07:40:29
64,La Macarena,2.1837,-73.7849,71.74,58,96,2.06,CO,2022-02-03 07:40:29
65,Bredasdorp,-34.5322,20.0403,63.28,75,75,17.25,ZA,2022-02-03 07:39:58
66,Punta Arenas,-53.15,-70.9167,42.91,65,75,5.75,CL,2022-02-03 07:40:31
67,Sura,53.8879,45.7419,30.4,97,100,4.12,RU,2022-02-03 07:40:31
68,East London,-33.0153,27.9116,72.54,100,20,8.05,ZA,2022-02-03 07:40:32
69,Kruisfontein,-34.0033,24.7314,71.89,68,100,10.36,ZA,2022-02-03 07:40:33
70,Melfi,40.9965,15.6514,45.39,66,2,7.87,IT,2022-02-03 07:40:34
71,Avarua,-21.2078,-159.775,78.85,89,20,12.66,CK,2022-02-03 07:39:42
72,Qaanaaq,77.484,-69.3632,-12.82,74,99,8.12,GL,2022-02-03 07:40:35
73,Havre-Saint-Pierre,50.2334,-63.5986,30.79,100,100,9.22,CA,2022-02-03 07:40:36
74,Norman Wells,65.282,-126.8329,-30.96,68,40,3.44,CA,2022-02-03 07:40:37
75,Kyra,49.5776,111.9753,5.54,73,32,2.01,RU,2022-02-03 07:40:38
76,Billings,45.7833,-108.5007,5.36,77,0,0.0,US,2022-02-03 07:36:15
77,Oudtshoorn,-33.5907,22.2014,73.76,48,43,9.17,ZA,2022-02-03 07:40:39
78,Port Elizabeth,-33.918,25.5701,74.1,78,100,12.66,ZA,2022-02-03 07:40:40
79,Iqaluit,63.7506,-68.5145,5.7,84,100,11.99,CA,2022-02-03 07:40:40
80,Bathsheba,13.2167,-59.5167,77.61,73,20,13.8,BB,2022-02-03 07:40:41
81,Grandview,38.8858,-94.533,11.95,75,100,5.99,US,2022-02-03 07:40:00
82,Jalu,29.0331,21.5482,54.3,66,5,22.17,LY,2022-02-03 07:40:42
83,Cidreira,-30.1811,-50.2056,74.32,92,21,15.77,BR,2022-02-03 07:40:43
84,Prince Rupert,54.3161,-130.3201,39.29,100,100,4.61,CA,2022-02-03 07:37:15
85,Hovd,48.0056,91.6419,1.2,92,90,3.62,MN,2022-02-03 07:40:44
86,Codrington,-38.2667,141.9667,60.91,60,72,16.64,AU,2022-02-03 07:40:45
87,Wanning,18.8003,110.3967,68.29,77,66,14.09,CN,2022-02-03 07:40:46
88,Waingapu,-9.6567,120.2641,86.07,67,66,15.26,ID,2022-02-03 07:40:47
89,Alice Springs,-23.7,133.8833,76.55,47,100,14.97,AU,2022-02-03 07:40:48
90,Naze,28.3667,129.4833,56.32,83,100,21.18,JP,2022-02-03 07:40:49
91,Upernavik,72.7868,-56.1549,-8.21,63,100,7.99,GL,2022-02-03 07:40:50
92,New Norfolk,-42.7826,147.0587,63.66,47,71,4.0,AU,2022-02-03 07:40:15
93,Itarema,-2.9248,-39.9167,76.06,89,99,7.61,BR,2022-02-03 07:40:51
94,Sobolevo,54.4299,31.8996,24.04,96,98,5.61,RU,2022-02-03 07:40:51
95,Wattegama,6.7989,81.4808,88.72,34,2,2.8,LK,2022-02-03 07:40:52
96,Muisne,0.6,-80.0333,74.91,92,100,6.64,EC,2022-02-03 07:40:53
97,Jamestown,42.097,-79.2353,37.29,69,100,8.99,US,2022-02-03 07:38:31
98,Los Llanos De Aridane,28.6585,-17.9182,64.15,73,20,5.99,ES,2022-02-03 07:40:54
99,Mount Isa,-20.7333,139.5,83.97,61,100,16.11,AU,2022-02-03 07:40:55
100,Arraial Do Cabo,-22.9661,-42.0278,74.37,88,99,2.44,BR,2022-02-03 07:40:56
101,Ribeira Grande,38.5167,-28.7,55.8,82,20,9.22,PT,2022-02-03 07:40:57
102,Badou,7.5833,0.6,77.2,19,21,2.68,TG,2022-02-03 07:40:58
103,Tayzhina,53.6679,87.4362,13.66,87,98,0.85,RU,2022-02-03 07:40:59
104,Urzhum,57.1141,49.9996,20.75,93,100,2.13,RU,2022-02-03 07:41:00
105,Korla,41.7597,86.1469,32.83,35,98,8.12,CN,2022-02-03 07:41:01
106,Kuching,1.55,110.3333,89.82,66,40,6.91,MY,2022-02-03 07:41:02
107,Tazovskiy,67.4667,78.7,-11.42,97,50,12.57,RU,2022-02-03 07:41:03
108,At-Bashi,41.1702,75.8106,16.32,80,56,3.65,KG,2022-02-03 07:41:04
109,Chokurdakh,70.6333,147.9167,-26.54,97,84,5.73,RU,2022-02-03 07:41:05
110,Chuy,-33.6971,-53.4616,68.79,95,36,7.47,UY,2022-02-03 07:41:06
111,Yulara,-25.2406,130.9889,80.44,29,100,16.11,AU,2022-02-03 07:41:06
112,Magione,43.1439,12.2069,48.94,66,28,2.44,IT,2022-02-03 07:41:07
113,Coolum Beach,-26.5333,153.1,78.33,97,100,14.88,AU,2022-02-03 07:41:08
114,Bonavista,48.6499,-53.1147,30.11,75,8,20.94,CA,2022-02-03 07:41:09
115,Dinghai,26.2847,119.7936,49.12,86,100,10.83,CN,2022-02-03 07:41:10
116,Kisanga,-7.4362,37.7034,84.45,66,100,2.3,TZ,2022-02-03 07:41:11
117,Portales,34.1862,-103.3344,9.1,87,100,15.5,US,2022-02-03 07:36:17
118,Castro,-24.7911,-50.0119,60.48,99,74,4.41,BR,2022-02-03 07:41:12
119,Barrow,71.2906,-156.7887,-23.78,83,0,3.44,US,2022-02-03 07:41:13
120,Malanje,-9.5402,16.341,69.73,67,75,5.39,AO,2022-02-03 07:41:14
121,Tuktoyaktuk,69.4541,-133.0374,-13.59,97,100,10.51,CA,2022-02-03 07:37:13
122,Koslan,63.4564,48.8989,22.06,95,100,4.99,RU,2022-02-03 07:41:15
123,Kungurtug,50.5994,97.5228,7.34,82,71,1.14,RU,2022-02-03 07:41:16
124,Awjilah,29.1081,21.2869,54.18,66,6,23.06,LY,2022-02-03 07:41:17
125,Paithan,19.4833,75.3833,83.88,13,6,10.78,IN,2022-02-03 07:41:18
126,Tiksi,71.6872,128.8694,-5.15,96,95,7.27,RU,2022-02-03 07:41:19
127,Yingkou,40.6648,122.2283,21.67,48,0,9.1,CN,2022-02-03 07:41:19
128,Santona,43.4439,-3.4576,52.07,76,99,8.66,ES,2022-02-03 07:41:20
129,Mariinskiy Posad,56.115,47.718,22.14,92,100,1.63,RU,2022-02-03 07:41:21
130,Klaksvik,62.2266,-6.589,45.52,91,100,41.45,FO,2022-02-03 07:41:22
131,Kapaa,22.0752,-159.319,75.18,72,100,4.61,US,2022-02-03 07:38:52
132,Te Anau,-45.4167,167.7167,56.53,84,100,3.56,NZ,2022-02-03 07:41:23
133,Andenes,69.3143,16.1194,22.98,63,0,24.16,NO,2022-02-03 07:41:24
134,Topolobampo,25.6,-109.05,57.06,77,15,5.23,MX,2022-02-03 07:41:25
135,Sibolga,1.7427,98.7792,82.17,79,81,2.91,ID,2022-02-03 07:41:26
136,Thunder Bay,48.4001,-89.3168,-9.44,66,0,8.05,CA,2022-02-03 07:41:27
137,Santa Fe,-31.6333,-60.7,75.0,82,86,1.99,AR,2022-02-03 07:39:15
138,Longyearbyen,78.2186,15.6401,19.24,49,0,4.61,SJ,2022-02-03 07:41:28
139,Ntoum,0.3833,9.7833,78.57,85,99,2.95,GA,2022-02-03 07:41:29
140,Adet,11.2644,37.4888,70.57,44,100,6.69,ET,2022-02-03 07:41:29
141,Chara,56.9064,118.2631,-16.71,94,26,1.39,RU,2022-02-03 07:41:30
142,Maceio,-9.6658,-35.7353,76.44,88,20,1.14,BR,2022-02-03 07:41:31
143,Lima,-12.0432,-77.0282,67.39,52,40,12.66,PE,2022-02-03 07:39:27
144,Qorveh,35.1664,47.8045,34.16,68,100,2.13,IR,2022-02-03 07:41:32
145,Benghazi,32.1167,20.0667,57.79,52,44,31.56,LY,2022-02-03 07:41:33
146,Faanui,-16.4833,-151.75,80.71,77,14,19.86,PF,2022-02-03 07:41:34
147,Belaya Gora,68.5333,146.4167,-29.42,100,35,1.23,RU,2022-02-03 07:41:35
148,Ostrovnoy,68.0531,39.5131,19.96,87,100,13.76,RU,2022-02-03 07:41:36
149,Tanabe,33.7333,135.3667,47.93,41,75,5.99,JP,2022-02-03 07:41:37
150,Diban,35.0365,40.5167,56.8,34,45,19.3,SY,2022-02-03 07:41:38
151,Provideniya,64.3833,-173.3,2.23,69,98,24.85,RU,2022-02-03 07:41:39
152,Talaya,61.3833,152.75,-25.47,100,95,3.87,RU,2022-02-03 07:41:40
153,Noumea,-22.2763,166.4572,82.38,71,0,3.53,NC,2022-02-03 07:38:25
154,Krasnoselkup,65.7,82.4667,-3.44,93,24,12.68,RU,2022-02-03 07:41:41
155,Correntina,-13.3433,-44.6367,67.68,94,43,0.47,BR,2022-02-03 07:41:42
156,Svarstad,59.399,9.9698,28.81,44,100,2.35,NO,2022-02-03 07:41:43
157,Visnes,59.3556,5.2242,41.83,93,75,14.97,NO,2022-02-03 07:41:44
158,Nome,64.5011,-165.4064,8.67,62,0,33.38,US,2022-02-03 07:41:45
159,Sitka,57.0531,-135.33,37.29,93,100,5.75,US,2022-02-03 07:39:24
160,Lagoa,39.05,-27.9833,57.34,74,9,9.86,PT,2022-02-03 07:41:46
161,Alihe,50.5667,123.7167,6.4,69,13,4.03,CN,2022-02-03 07:41:47
162,Kenai,60.5544,-151.2583,21.15,80,0,9.22,US,2022-02-03 07:41:48
163,Oranjemund,-28.55,16.4333,70.83,73,80,6.8,NA,2022-02-03 07:41:04
164,Camalu,30.85,-116.0667,50.41,43,0,6.31,MX,2022-02-03 07:41:49
165,Gusinoye Ozero,51.1144,106.2614,11.25,85,59,1.95,RU,2022-02-03 07:41:50
166,Huarmey,-10.0681,-78.1522,70.03,83,91,8.05,PE,2022-02-03 07:41:51
167,Atuona,-9.8,-139.0333,78.6,76,96,17.85,PF,2022-02-03 07:41:52
168,Nishihara,26.1842,127.7558,63.68,97,100,12.66,JP,2022-02-03 07:41:53
169,Sobradinho,-12.8333,-39.1,70.47,96,49,1.45,BR,2022-02-03 07:41:53
170,Arman,59.7,150.1667,4.86,78,100,11.61,RU,2022-02-03 07:41:54
171,San Patricio,28.017,-97.5169,51.78,85,100,19.24,US,2022-02-03 07:41:55
172,Mega,4.05,38.3,74.03,33,83,22.03,ET,2022-02-03 07:41:56
173,Peleduy,59.6289,112.7406,4.14,94,100,7.58,RU,2022-02-03 07:41:57
174,Mombaca,-5.7431,-39.6275,69.37,89,89,1.01,BR,2022-02-03 07:41:58
175,Barabash,43.2,131.4833,19.08,49,100,5.44,RU,2022-02-03 07:41:59
176,Luang Prabang,19.8856,102.1347,85.96,37,40,0.0,LA,2022-02-03 07:42:00
177,Kavaratti,10.5669,72.642,80.1,69,19,7.09,IN,2022-02-03 07:38:28
178,Roma,43.2128,-75.4557,41.13,93,100,8.05,US,2022-02-03 07:42:01
179,Ponta Do Sol,32.6667,-17.1,67.12,65,100,14.74,PT,2022-02-03 07:42:02
180,Keningau,5.3378,116.1602,86.45,57,77,2.48,MY,2022-02-03 07:42:03
181,Pasighat,28.0667,95.3333,69.51,43,66,4.14,IN,2022-02-03 07:42:04
182,Yerbogachen,61.2767,108.0108,4.59,95,100,6.42,RU,2022-02-03 07:42:05
183,Cherskiy,68.75,161.3,-21.87,89,92,0.36,RU,2022-02-03 07:42:06
184,Bud,39.447,-86.1758,30.15,94,100,15.08,US,2022-02-03 07:42:07
185,Guerrero Negro,27.9769,-114.0611,55.17,31,0,4.65,MX,2022-02-03 07:41:15
186,Ugoofaaru,5.6667,73.0,81.54,70,22,4.85,MV,2022-02-03 07:42:08
187,Kodiak,57.79,-152.4072,38.71,87,100,11.5,US,2022-02-03 07:39:30
188,Kosa,59.9445,54.9977,19.04,92,100,5.48,RU,2022-02-03 07:42:09
189,Leh,34.1667,77.5833,17.33,86,100,1.92,IN,2022-02-03 07:42:10
190,Nabire,-3.3667,135.4833,81.45,82,100,2.8,ID,2022-02-03 07:42:11
191,Ballina,-28.8667,153.5667,71.56,96,100,17.27,AU,2022-02-03 07:42:12
192,Rock Springs,41.5875,-109.2029,4.44,56,0,3.0,US,2022-02-03 07:38:05
193,Bethanien,-26.502,17.1583,75.24,48,0,4.03,NA,2022-02-03 07:42:13
194,Abu Dhabi,24.4667,54.3667,75.31,63,0,11.5,AE,2022-02-03 07:38:07
195,Altay,47.8667,88.1167,14.18,82,7,1.23,CN,2022-02-03 07:42:13
196,Nizhniy Kuranakh,58.8353,125.4869,-5.37,97,100,5.19,RU,2022-02-03 07:42:14
197,Cabo San Lucas,22.8909,-109.9124,70.52,70,100,5.97,MX,2022-02-03 07:39:55
198,Baracoa,20.3467,-74.4958,73.4,89,94,12.41,CU,2022-02-03 07:42:15
199,Dawlatabad,36.4141,64.9053,53.96,39,0,12.68,AF,2022-02-03 07:42:16
200,Dingle,10.9995,122.6711,81.79,75,100,13.2,PH,2022-02-03 07:42:17
201,Asau,46.4333,26.4,35.76,84,95,2.98,RO,2022-02-03 07:42:18
202,Kobelyaky,49.1489,34.1965,32.54,98,100,2.68,UA,2022-02-03 07:42:19
203,Saint-Philippe,-21.3585,55.7679,80.15,96,100,34.47,RE,2022-02-03 07:42:20
204,Grand Gaube,-20.0064,57.6608,79.38,90,100,17.0,MU,2022-02-03 07:42:21
205,Atar,20.5169,-13.0499,66.2,21,0,7.83,MR,2022-02-03 07:42:21
206,Bandarbeyla,9.4942,50.8122,79.45,58,12,19.71,SO,2022-02-03 07:39:59
207,Thinadhoo,0.5333,72.9333,82.49,69,5,4.76,MV,2022-02-03 07:42:22
208,Henties Bay,-22.116,14.2845,70.86,70,0,3.85,NA,2022-02-03 07:42:23
209,Nemuro,43.3236,145.575,23.43,76,91,8.48,JP,2022-02-03 07:42:24
210,Yaan,7.3833,8.5667,81.32,11,33,9.71,NG,2022-02-03 07:38:25
211,Oktyabrskiy,54.4815,53.471,30.81,96,100,15.3,RU,2022-02-03 07:42:25
212,Hokitika,-42.7167,170.9667,65.46,99,100,9.08,NZ,2022-02-03 07:42:26
213,Nanortalik,60.1432,-45.2371,26.08,88,100,5.35,GL,2022-02-03 07:42:27
214,Gizo,-8.103,156.8419,80.62,80,100,9.71,SB,2022-02-03 07:40:13
215,Sokolskoye,57.1412,43.1589,12.67,98,97,4.94,RU,2022-02-03 07:42:28
216,Ramanuj Ganj,23.8,83.7,84.24,18,0,4.43,IN,2022-02-03 07:42:29
217,Hithadhoo,-0.6,73.0833,81.9,69,51,1.86,MV,2022-02-03 07:41:27
218,Xacmaz,41.4635,48.806,49.01,59,72,4.47,AZ,2022-02-03 07:42:30
219,Chimbote,-9.0853,-78.5783,68.56,88,99,5.64,PE,2022-02-03 07:42:31
220,Bauta,22.9828,-82.5464,67.98,94,20,5.75,CU,2022-02-03 07:42:32
221,Maracana,-0.7667,-47.45,73.63,95,100,0.65,BR,2022-02-03 07:42:33
222,Mildura,-34.2,142.15,80.08,22,0,14.97,AU,2022-02-03 07:42:34
223,North Battleford,52.7834,-108.2847,-14.6,76,0,12.66,CA,2022-02-03 07:42:35
224,Karasjok,69.4719,25.5112,3.31,99,100,2.95,NO,2022-02-03 07:42:35
225,Fare,-16.7,-151.0167,80.67,77,8,20.29,PF,2022-02-03 07:42:36
226,Kutum,14.2,24.6667,71.76,14,2,10.54,SD,2022-02-03 07:42:37
227,Nikolskoye,59.7035,30.7861,17.49,96,93,1.23,RU,2022-02-03 07:41:19
228,Hambantota,6.1241,81.1185,89.94,58,20,4.61,LK,2022-02-03 07:42:38
229,Anadyr,64.75,177.4833,14.5,67,55,26.84,RU,2022-02-03 07:42:39
230,Tubinskiy,52.8892,58.2225,15.94,96,100,10.85,RU,2022-02-03 07:42:40
231,Airai,-8.9266,125.4092,68.63,75,75,3.85,TL,2022-02-03 07:42:41
232,Taltal,-25.4,-70.4833,64.6,81,9,0.83,CL,2022-02-03 07:42:42
233,Forestville,38.8451,-76.875,43.2,92,100,5.75,US,2022-02-03 07:40:10
234,Lata,40.1629,-8.3327,43.05,73,100,2.04,PT,2022-02-03 07:42:43
235,Saskylakh,71.9167,114.0833,-33.11,100,16,2.1,RU,2022-02-03 07:42:44
236,Christchurch,-43.5333,172.6333,63.91,86,100,4.0,NZ,2022-02-03 07:38:23
237,Tasiilaq,65.6145,-37.6368,14.16,60,55,7.72,GL,2022-02-03 07:42:45
238,Padang,-0.9492,100.3543,86.05,77,84,3.85,ID,2022-02-03 07:41:12
239,Inuvik,68.3499,-133.7218,-15.59,76,100,2.3,CA,2022-02-03 07:42:46
240,Alofi,-19.0595,-169.9187,76.89,83,55,4.61,NU,2022-02-03 07:42:47
241,Hjelset,62.7833,7.4833,32.04,80,0,6.91,NO,2022-02-03 07:42:48
242,Dalby,-27.1833,151.2667,70.99,93,100,4.0,AU,2022-02-03 07:42:49
243,Port Said,31.2565,32.2841,55.38,62,0,11.5,EG,2022-02-03 07:42:49
244,Vila Velha,-20.3297,-40.2925,75.15,96,100,0.0,BR,2022-02-03 07:42:50
245,Hajnowka,52.7433,23.5812,28.02,87,73,3.0,PL,2022-02-03 07:42:50
246,Puerto Boyaca,5.9758,-74.5885,70.32,98,74,1.05,CO,2022-02-03 07:42:51
247,Pacific Grove,36.6177,-121.9166,52.63,39,0,3.44,US,2022-02-03 07:42:52
248,Cururupu,-1.8283,-44.8683,75.69,91,100,2.57,BR,2022-02-03 07:42:53
249,Vagur,61.4732,-6.8119,46.38,87,100,42.95,FO,2022-02-03 07:42:54
250,Katangli,51.7102,143.2326,6.89,94,100,19.62,RU,2022-02-03 07:42:55
251,Okhotsk,59.3833,143.3,13.73,77,100,13.18,RU,2022-02-03 07:40:08
252,Ossora,59.2353,163.0719,11.41,76,100,11.88,RU,2022-02-03 07:42:56
253,Tual,-5.6667,132.75,83.48,71,100,12.33,ID,2022-02-03 07:42:56
254,Morehead,37.2711,-87.1764,32.14,96,100,1.01,US,2022-02-03 07:42:57
255,Fort Nelson,58.8053,-122.7002,-9.81,70,100,9.22,CA,2022-02-03 07:42:58
256,Coahuayana,18.7333,-103.6833,64.0,72,0,4.7,MX,2022-02-03 07:42:59
257,San Angelo,31.4638,-100.437,23.95,88,100,5.01,US,2022-02-03 07:40:56
258,Eyl,7.9803,49.8164,82.65,50,22,22.5,SO,2022-02-03 07:43:00
259,Talnakh,69.4865,88.3972,-9.38,98,98,6.91,RU,2022-02-03 07:43:01
260,Sovetskiy,61.3614,63.5842,19.36,93,100,7.85,RU,2022-02-03 07:43:02
261,Chiredzi,-21.05,31.6667,93.51,36,5,3.4,ZW,2022-02-03 07:43:03
262,Mount Gambier,-37.8333,140.7667,60.71,63,100,18.41,AU,2022-02-03 07:43:04
263,Lebu,-37.6167,-73.65,56.8,95,15,8.81,CL,2022-02-03 07:43:05
264,Yatou,37.15,122.3833,34.86,40,3,5.06,CN,2022-02-03 07:43:06
265,Iquitos,-3.7481,-73.2472,75.24,100,75,2.3,PE,2022-02-03 07:43:07
266,Flinders,-34.5833,150.8552,71.2,62,74,17.92,AU,2022-02-03 07:43:08
267,Yola,9.2,12.4833,76.93,19,1,3.94,NG,2022-02-03 07:43:09
268,Husavik,66.0449,-17.3389,6.71,91,100,8.77,IS,2022-02-03 07:43:09
269,Sao Joao Da Barra,-21.6403,-41.0511,72.16,95,100,5.82,BR,2022-02-03 07:43:10
270,Khatanga,71.9667,102.5,-33.7,99,24,1.12,RU,2022-02-03 07:43:10
271,Ishim,56.1128,69.4902,21.07,94,83,9.31,RU,2022-02-03 07:43:11
272,Kathu,7.9178,98.3332,91.22,73,42,6.67,TH,2022-02-03 07:43:12
273,Westport,41.1415,-73.3579,40.91,96,100,1.01,US,2022-02-03 07:43:12
274,Evensk,61.95,159.2333,21.2,37,4,29.59,RU,2022-02-03 07:43:13
275,Hervey Bay,-25.2986,152.8535,82.51,94,99,11.56,AU,2022-02-03 07:43:14
276,Vanavara,60.34,102.2797,11.8,94,100,4.41,RU,2022-02-03 07:43:15
277,Hami,42.8,93.45,30.18,32,100,4.05,CN,2022-02-03 07:43:16
278,Sol-Iletsk,51.1631,54.9918,28.02,91,100,14.38,RU,2022-02-03 07:43:17
279,Chavakkad,10.5333,76.05,89.67,69,18,12.15,IN,2022-02-03 07:43:18
